positionCode,catches,height,weight,lastAmateurClub,lastAmateurLeague,birthDate,birthCity,birthStateProvince,birthCountryCode,midtermRank,finalRank,draftYear,international,fullName
G,R,75,191,Quebec,QMJHL,1992-03-06,St-Hyacinte,QC,CAN,4,5,2010,FALSE,Louis Domingue
G,L,74,190,Thief River Falls,HIGH-MN,1992-08-20,Grand Forks,ND,USA,5,6,2010,FALSE,Zane McIntyre (Gothberg)
G,L,73,176,Blues Jr.,Finland Jr.,1992-04-27,Vaasa,NA,FIN,NA,6,2010,TRUE,Jonathan Iilahti
G,L,73,198,GRAZ,AUSTRIA,1992-03-31,Eksjo,NA,SWE,1,7,2010,TRUE,Jonas Gunnarsson
G,L,77,201,Halifax,QMJHL,1991-09-27,Montreal,QC,CAN,3,7,2010,FALSE,Mathieu Corbeil-Theriault
G,R,72,179,NA,NA,1990-06-03,Plzen,NA,CZE,6,8,2010,TRUE,Pavel Francouz
G,L,75,215,Canmore,AJHL,1992-05-10,Calgary,AB,CAN,6,8,2010,FALSE,Sam Brittain
G,R,70,165,NA,NA,1992-01-19,Russikon,NA,CHE,NA,9,2010,TRUE,Lukas Meili
G,L,73,200,Medicine Hat,WHL,1992-02-11,Regina,SK,CAN,14,10,2010,FALSE,Tyler Bunz
G,L,69,172,OLOMOUC,CZECHIA,1990-04-05,Zlin,NA,CZE,NA,10,2010,TRUE,Jakub Sedlacek
G,L,73,160,Kimball Union Academy,HIGH-NH,1991-12-30,Saint-Jerome,QC,CAN,17,13,2010,FALSE,Martin Ouellette
G,L,73,185,Windsor,OHL,1991-11-25,Rosenheim,NA,DEU,9,15,2010,FALSE,Philipp Grubauer
G,L,74,190,Portland,WHL,1992-03-25,Salt Lake City,UT,USA,NA,16,2010,FALSE,Macmillian Carruth
G,L,73,195,NA,NA,1991-08-24,Tampa,FL,USA,19,17,2010,FALSE,Clay Witt
G,L,72,190,Gatineau,QMJHL,1991-12-31,Montreal,QC,CAN,10,18,2010,FALSE,Maxime Clermont
G,L,74,185,Plymouth,OHL,1992-08-14,Etobicoke,ON,CAN,13,19,2010,FALSE,Scott Wedgewood
G,L,75,200,NA,NA,1992-04-30,Jackson,MI,USA,12,20,2010,FALSE,Will Yanakeff
G,L,72,179,NA,NA,1991-02-12,Edmonton,BC,CAN,21,21,2010,FALSE,Sean Bonar
G,L,76,167,NA,NA,1992-08-21,Victoria,BC,CAN,NA,22,2010,FALSE,Brandon Glover
G,L,72,181,NA,NA,1991-06-24,Bloomingdale,IL,USA,26,24,2010,FALSE,Jeff Teglia
G,L,72,184,Ottawa,OHL,1992-02-14,Ostrava,NA,CZE,26,25,2010,FALSE,Petr Mrazek
G,L,72,188,NA,NA,1990-09-06,Pittsburgh,PA,USA,NA,26,2010,FALSE,Parker Milner
G,R,71,184,NA,NA,1992-04-27,Toronto,ON,CAN,20,27,2010,FALSE,JP Anderson
G,L,74,200,NA,NA,1991-11-21,Chicoutimi,QC,CAN,27,29,2010,FALSE,Philippe Tremblay
G,L,75,187,NA,NA,1992-07-20,NA,NA,SVK,7,NA,2010,TRUE,Filip Orcik
G,L,73,180,NA,NA,1991-10-16,St. Jean Chrysostome,QC,CAN,22,NA,2010,FALSE,Guillaume Nadeau
G,L,72,195,NA,NA,1992-07-06,Laval,QC,CAN,24,NA,2010,FALSE,Simon Giroux
G,L,73,187,NA,NA,1992-03-19,Charleston,SC,USA,25,NA,2010,FALSE,Brian Billett
G,L,72,182,NA,NA,1992-01-12,Indianapolis,IN,USA,31,NA,2010,FALSE,Jacob Meyers
G,L,71,170,NA,NA,1992-07-13,Langley,BC,CAN,32,NA,2010,FALSE,Brandon Anderson
G,L,75,226,USA U-18,USHL,1993-07-14,Pittsburgh,PA,USA,1,1,2011,FALSE,John Gibson
G,L,77,205,JYP Jr.,Finland Jr.,1993-03-07,Jamsankoski,NA,FIN,1,1,2011,TRUE,Samu Perhonen
G,L,74,192,Chicoutimi,QMJHL,1992-12-27,Karkkila,NA,FIN,2,2,2011,FALSE,Christopher Gibson
G,L,77,187,Almtuna,SWEDEN-2,1991-04-04,"Uppsala, Sweden",NA,SWE,NA,2,2011,TRUE,Magnus Hellberg
G,L,74,187,ZLIN,CZECHIA-2,1993-09-12,Dvur Kraloven Labem,NA,CZE,3,3,2011,TRUE,Jaroslav Pavelka
G,L,74,169,Owen Sound,OHL,1993-07-11,Richmond Hill,ON,CAN,7,3,2011,FALSE,Jordan Binnington
G,R,70,207,AJOIE,SWISS,1991-09-13,Porrentruy,NA,CHE,4,4,2011,TRUE,Benjamin Conz
G,L,74,201,NA,NA,1993-02-16,St. Paul,MN,USA,5,4,2011,FALSE,Matthew McNeely
G,L,74,196,Loomis-Chaffee,HIGH-CT,1993-08-06,Hartford,CT,USA,6,5,2011,FALSE,Stephen Michalek
G,L,75,209,Blues Jr.,Finland Jr.,1992-07-26,Oslo,NA,NOR,7,5,2011,TRUE,Lars Volden
G,L,73,185,NA,NA,1992-11-07,London,ON,CAN,20,6,2011,FALSE,Mike Morrison
G,L,74,191,Jokerit Jr.,Finland Jr.,1991-08-19,Helsinki,NA,FIN,NA,6,2011,TRUE,Frans Tuohimaa
G,L,75,200,Edmonton,WHL,1993-03-23,Port Alberni,BC,CAN,13,7,2011,FALSE,Laurent Brossoit
G,L,76,200,Sodertalje Jr.,SWEDEN-JR.,1992-04-25,Stockholm,NA,SWE,NA,7,2011,TRUE,Johan Mattsson
G,L,74,194,AIK Jr.,SWEDEN-JR.,1993-01-10,Varmdo,NA,SWE,6,8,2011,TRUE,Niklas Lundstrom
G,L,74,186,Plymouth,OHL,1993-01-22,Toledo,OH,USA,25,8,2011,FALSE,Matt Mahalak
G,L,74,183,NA,NA,1993-01-06,Sunne,NA,SWE,2,9,2011,TRUE,Stefan Steen
G,L,72,195,NA,NA,1993-04-06,London,ON,CAN,4,9,2011,FALSE,Liam Liston
G,L,76,190,Portage,MJHL,1992-05-18,Winnipeg,MB,CAN,21,10,2011,FALSE,Jason Kasdorf
G,R,75,190,Plzen,Czech Republic,1991-07-18,Ceske Budejovice,NA,CZE,NA,10,2011,TRUE,Marek Mazanec
G,L,74,200,OLOMOUC,CZECHIA,1993-07-25,Opava,NA,CZE,3,11,2011,FALSE,Matej Machovsky
G,L,74,184,NA,NA,1993-06-07,McLean,VA,USA,14,12,2011,FALSE,Jay Williams
G,L,75,213,Victoriaville,QMJHL,1993-08-09,Tabor,NA,CZE,8,13,2011,FALSE,David Honzik
G,L,73,189,NA,NA,1991-02-22,Stratford,ON,CAN,26,14,2011,FALSE,Jordan Ruby
G,L,77,196,FREDERIKSHAVN,DENMARK,1992-12-29,Brno,NA,CZE,10,15,2011,FALSE,Tadeas Galansky
G,L,72,173,NA,NA,1993-04-29,Surrey,BC,CAN,11,16,2011,FALSE,Eric Williams
G,L,74,209,Guelph,OHL,1993-06-28,Elmhurst,IL,USA,NA,17,2011,FALSE,Garret Sparks
G,L,73,184,NA,NA,1993-05-01,Philadelphia,PA,USA,12,18,2011,FALSE,Peter Traber
G,L,73,190,ROCHESTER,AHL,1992-09-13,Youngstown,OH,USA,23,19,2011,FALSE,Michael Houser
G,L,75,226,NA,NA,1993-07-18,Winnipeg,MB,CAN,NA,20,2011,FALSE,Corbin Boes
G,L,74,175,FARJESTAD,SWEDEN,1993-01-12,Longueuil,QC,CAN,9,21,2011,FALSE,Maxime Lagace
G,L,73,172,NA,NA,1992-12-03,Homberg,NA,DEU,17,22,2011,FALSE,Jan Obernesser
G,L,72,201,DETROIT,NHL,1992-12-09,Baudette,MN,USA,19,23,2011,FALSE,Alex Lyon
G,L,74,210,NA,NA,1993-07-28,Newburyport,MA,USA,34,24,2011,FALSE,Christopher Eiserman
G,L,77,200,NA,NA,1992-02-14,Sault Ste. Marie,ON,CAN,24,25,2011,FALSE,Matthew O'Connor
G,L,72,160,NA,NA,1993-05-19,Belleville,ON,CAN,28,26,2011,FALSE,Tyson Teichmann
G,L,74,194,Minnesota State,WCHA,1993-04-28,Fairbanks,AK,USA,31,27,2011,FALSE,Stephon Williams
G,L,73,178,Green Bay,USHL,1992-11-26,South St. Paul,MN,USA,16,28,2011,FALSE,Adam Wilcox
G,L,72,164,NA,NA,1993-05-28,North York,ON,CAN,15,29,2011,FALSE,Frank Palazzese
G,L,73,191,NA,NA,1992-10-05,London,ON,CAN,22,30,2011,FALSE,Jackson Teichroeb
G,L,70,181,LULEA,SWEDEN,1993-01-08,Lulea,NA,SWE,5,NA,2011,TRUE,Joel Lassinantti
G,L,75,185,NA,NA,1993-07-16,Porvoo,NA,FIN,8,NA,2011,TRUE,Richard Ullberg
G,L,72,176,NA,NA,1993-07-07,Barrie,ON,CAN,18,NA,2011,FALSE,John Chartrand
G,L,72,186,NA,NA,1993-03-01,Montreal,QC,CAN,27,NA,2011,FALSE,Patrick Spano
G,L,78,220,NA,NA,1991-11-05,Perth,ON,CAN,29,NA,2011,FALSE,Jared Coreau
G,L,72,160,NA,NA,1993-06-30,Niskayuna,NY,USA,30,NA,2011,FALSE,Colin Stevens
G,L,71,177,NA,NA,1993-01-19,Moncton,NB,CAN,32,NA,2011,FALSE,Robert Steeves
G,L,73,171,NA,NA,1993-03-05,Lake Arrowhead,CA,USA,33,NA,2011,FALSE,John Keeney
G,L,76,201,Ufa 2,RUSSIA,1994-07-25,Tyumen,NA,RUS,1,1,2012,TRUE,Andrey Vasilevsky
G,L,74,201,Belleville,OHL,1993-12-21,Toronto,ON,CAN,1,1,2012,FALSE,Malcolm Subban
G,L,75,201,Brynas Jr.,SWEDEN-JR.,1994-02-28,Stockholm,NA,SWE,2,2,2012,TRUE,Oscar Dansk
G,L,77,204,Victoriaville,QMJHL,1994-05-11,Centreville,NS,CAN,3,2,2012,FALSE,Brandon Whitney
G,L,75,181,Jokerit Jr.,Finland Jr.,1994-04-28,Pori,NA,FIN,3,3,2012,TRUE,Joonas Korpisalo
G,L,73,186,Saginaw,OHL,1994-05-03,Mississauga,ON,CAN,5,3,2012,FALSE,Jake Paterson
G,L,74,194,NA,NA,1994-03-20,Krunupyy,NA,FIN,5,4,2012,TRUE,Jean Auren
G,L,78,220,Corpus Christi,NAHL,1994-01-20,Edison,NJ,USA,20,4,2012,FALSE,Anthony Stolarz
G,L,74,194,Pardubice Jr.,CZREP-JR.,1994-07-22,Pisek,NA,CZE,4,5,2012,TRUE,Marek Langhamer
G,L,74,185,Val d'Or,QMJHL,1994-08-29,Baie-Comeau,QC,CAN,6,5,2012,FALSE,Francois Tremblay
G,L,77,216,Indiana,USHL,1994-01-22,Concord,NH,USA,4,6,2012,FALSE,Jon Gillies
G,L,70,183,NA,NA,1994-07-19,Gothenburg,NA,SWE,6,6,2012,TRUE,Mathias Israelsson
G,L,72,185,NA,NA,1993-04-20,Kazan,NA,RUS,8,7,2012,FALSE,Andrey Makarov
G,L,75,194,Modo Jr.,SWEDEN-JR.,1993-07-31,"Lugnvik, Sweden",NA,SWE,NA,7,2012,TRUE,Linus Ullmark
G,L,73,205,Red Deer,WHL,1993-03-29,Novy Jicin,NA,CZE,10,8,2012,FALSE,Patrik Bartosak
G,L,71,200,NA,NA,1994-06-14,NA,NA,RUS,NA,8,2012,TRUE,Igor Ustinsky
G,L,73,187,MINSK,RUSSIA,1994-03-16,Chelyabinsk,NA,RUS,9,9,2012,TRUE,Vasily Demchenko
G,L,72,164,NA,NA,1993-05-28,North York,ON,CAN,11,9,2012,FALSE,Frank Palazzese
G,L,75,185,NA,NA,1993-07-16,Porvoo,NA,FIN,7,10,2012,TRUE,Richard Ullberg
G,L,75,194,Sherwood Park,AJHL,1994-06-19,Edmonton,AB,CAN,15,10,2012,FALSE,Matt Tomkins
G,L,72,160,NA,NA,1993-09-29,Terrebonne,QC,CAN,13,11,2012,FALSE,Etienne Marcoux
G,L,74,191,NURNBERG,GERMANY,1991-04-29,Nurnberg,NA,DEU,NA,11,2012,TRUE,Niklas Treutle
G,L,76,205,Oshawa,OHL,1994-07-24,Ottawa,ON,CAN,7,12,2012,FALSE,Daniel Altshuller
G,L,75,199,Calgary,WHL,1994-05-18,Winnipeg,MB,CAN,12,13,2012,FALSE,Chris Driedger
G,L,74,200,OLOMOUC,CZECHIA,1993-07-25,Opava,NA,CZE,23,14,2012,FALSE,Matej Machovsky
G,L,74,165,Quebec,QMJHL,1994-01-31,Gatineau,QC,CAN,16,15,2012,FALSE,Francois Brassard
G,L,73,190,ROCHESTER,AHL,1992-09-13,Youngstown,OH,USA,19,16,2012,FALSE,Michael Houser
G,L,76,222,NA,NA,1993-11-02,Hamilton,ON,CAN,21,17,2012,FALSE,Clint Windsor
G,L,76,174,Sault Ste. Marie,OHL,1994-05-25,Thunder Bay,ON,CAN,2,18,2012,FALSE,Matthew Murray
G,L,74,186,Kootenay,WHL,1994-06-15,Abbotsford,BC,CAN,14,19,2012,FALSE,Mackenzie Skapski
G,L,74,175,FARJESTAD,SWEDEN,1993-01-12,Longueuil,QC,CAN,17,20,2012,FALSE,Maxime Lagace
G,L,75,213,USA U-18,USHL,1994-04-04,Burnsville,MN,USA,9,21,2012,FALSE,Collin Olson
G,L,73,194,PARDUBICE,CZECHIA,1992-05-22,Plzen,NA,CZE,30,22,2012,FALSE,Roman Will
G,L,72,201,DETROIT,NHL,1992-12-09,Baudette,MN,USA,18,23,2012,FALSE,Alex Lyon
G,L,71,176,MUNCHEN,GERMANY,1992-11-26,Dusseldorf,NA,DEU,NA,24,2012,FALSE,Mathias Niederberger
G,L,70,178,NA,NA,1993-05-16,Warwick,NY,USA,28,25,2012,FALSE,Matthew Morris
G,L,73,170,Toronto JC,OJHL,1993-03-24,Chateauguay,QC,CAN,NA,26,2012,FALSE,Jamie Phillips
G,L,74,187,ZLIN,CZECHIA-2,1993-09-12,Dvur Kraloven Labem,NA,CZE,27,27,2012,FALSE,Jaroslav Pavelka
G,L,73,203,Powell River,BCHL,1993-02-02,Edmonton,AB,CAN,NA,28,2012,FALSE,Sean Maguire
G,L,73,185,NA,NA,1993-01-05,Ft. Nelson,BC,CAN,26,29,2012,FALSE,Cole Holowenko
G,R,73,181,WASHINGTON,NHL,1993-12-18,Lakeville,MN,USA,NA,30,2012,FALSE,Charlie Lindgren
G,L,74,170,NA,NA,1994-04-16,Stoughton,MA,USA,24,31,2012,FALSE,Joseph Young
G,L,73,173,NA,NA,1993-11-01,Toronto,ON,CAN,NA,32,2012,FALSE,Edward (Michael) Nishi
G,L,72,194,NA,NA,1994-02-28,Toronto,ON,CAN,32,33,2012,FALSE,Dawson Sprigings
G,L,74,194,Minnesota State,WCHA,1993-04-28,Fairbanks,AK,USA,22,34,2012,FALSE,Stephon Williams
G,L,78,209,NA,NA,1993-09-28,Montreal,QC,CAN,34,35,2012,FALSE,Philippe Trudeau
G,L,71,176,NA,NA,1994-01-31,Rimavska Sobota,NA,SVK,8,NA,2012,TRUE,Richard Sabol
G,L,70,183,NA,NA,1994-02-16,Cologne,NA,DEU,10,NA,2012,TRUE,Marvin Cupper
G,L,72,190,NA,NA,1994-06-22,Hammonds Plains,NS,CAN,25,NA,2012,FALSE,Jacob Brennan
G,L,71,178,NA,NA,1993-03-26,Toronto,ON,CAN,29,NA,2012,FALSE,Andrew D'Agostini
G,L,72,184,NA,NA,1992-03-03,North York,ON,CAN,31,NA,2012,FALSE,Keegan Wilson
G,L,73,185,NA,NA,1992-11-07,London,ON,CAN,33,NA,2012,FALSE,Mike Morrison
G,L,74,201,NA,NA,1993-02-16,St. Paul,MN,USA,35,NA,2012,FALSE,Matthew McNeely
G,L,71,171,NA,NA,1994-04-18,Chicago,IL,USA,36,NA,2012,FALSE,Jared Rutledge
G,L,71,178,HPK Jr.,Finland Jr.,1995-04-19,Forssa,NA,FIN,1,1,2013,TRUE,Juuse Saros
G,L,74,187,Halifax,QMJHL,1995-05-28,Laval,QC,CAN,1,1,2013,FALSE,Zachary Fucale
G,L,71,185,NA,NA,1995-03-07,Faringso,NA,SWE,2,2,2013,TRUE,Ebbe Sionas
G,L,73,167,Tri-City,WHL,1995-07-06,Edmonton,AB,CAN,2,2,2013,FALSE,Eric Comrie
G,L,73,185,Edmonton,WHL,1995-04-29,Surrey,BC,CAN,3,3,2013,FALSE,Tristan Jarry
G,L,71,187,NA,NA,1993-10-31,Jesenice,NA,SVN,5,3,2013,TRUE,Luka Gracnar
G,L,77,218,Linkoping Jr.,SWEDEN-JR.,1994-11-25,Orebro,NA,SWE,3,4,2013,TRUE,Marcus Hogberg
G,R,74,172,Waterloo,USHL,1994-10-19,Waterloo,IA,USA,4,4,2013,FALSE,Calvin Petersen
G,L,74,172,NIZHNY NOVGOROD,RUSSIA,1995-05-18,Moscow,NA,RUS,4,5,2013,TRUE,Ivan Bocharov
G,L,75,206,Mississauga,OHL,1995-06-08,Oakville,ON,CAN,5,5,2013,FALSE,Spencer Martin
G,L,75,205,HIFK,FINLAND,1995-02-06,Helsinki,NA,FIN,6,6,2013,TRUE,Ville Husso
G,L,74,188,Waterloo,USHL,1994-09-24,Doylestown,PA,USA,7,6,2013,FALSE,Eamon McAdam
G,L,73,190,Rimouski,QMJHL,1995-08-16,Saint-Hyacinthe,QC,CAN,6,7,2013,FALSE,Philippe Desrosiers
G,L,70,185,RAPPERSWIL,SWISS,1994-12-16,Volketswil,NA,CHE,7,7,2013,TRUE,Melvin Nyffeler
G,L,70,170,NA,NA,1995-02-23,Ostrava,NA,CZE,8,8,2013,TRUE,Rene Svoboda
G,L,73,205,Red Deer,WHL,1993-03-29,Novy Jicin,NA,CZE,10,8,2013,FALSE,Patrik Bartosak
G,L,77,220,NA,NA,1995-05-05,Moscow,NA,RUS,9,9,2013,TRUE,Andrei Filonenko
G,L,75,216,PEI,QMJHL,1994-05-01,Victoriaville,QC,CAN,NA,9,2013,FALSE,Antoine Bibeau
G,L,74,203,NA,NA,1995-03-07,NA,NA,SVK,10,10,2013,TRUE,Maros Mikolas
G,L,72,188,NA,NA,1995-05-27,Winnipeg,MB,CAN,11,10,2013,FALSE,Austin Lotz
G,R,72,166,NA,NA,1995-05-08,Brampton,ON,CAN,8,11,2013,FALSE,Michael Giugovaz
G,L,76,200,Wichita Falls,NAHL,1995-07-31,Cranbrook,BC,CAN,9,12,2013,FALSE,Evan Cowley
G,L,76,185,Portland,WHL,1995-03-11,Scottsdale,AZ,USA,13,13,2013,FALSE,Brendan Burke
G,L,73,192,Rouyn-Noranda,QMJHL,1995-08-19,Sherbrooke,QC,CAN,25,14,2013,FALSE,Alexandre Belanger
G,L,77,180,NA,NA,1994-07-12,Framingham,MA,USA,35,15,2013,FALSE,Shane Starrett
G,L,73,187,NA,NA,1995-04-21,Montreal,QC,CAN,12,16,2013,FALSE,Louis-Philip Guindon
G,L,74,186,Kootenay,WHL,1994-06-15,Abbotsford,BC,CAN,18,17,2013,FALSE,Mackenzie Skapski
