birthCity,birthCountryCode,birthDate,birthStateProvinceCode,draftOverall,draftRound,draftYear,fullName,height,isInHallOfFameYn,lastName,nationalityCode,playerId,catches,weight,seasonId,assists,gamesPlayed,gamesStarted,goals,goalsAgainst,goalsAgainstAverage,losses,otLosses,penaltyMinutes,points,savePct,saves,shotsAgainst,shutouts,teamAbbrevs,ties,timeOnIce,wins
Lac St. Charles,CAN,1977-08-15,QC,16,1,1995,Martin Biron,74,N,Biron,CAN,8462047,L,186,20002001,0,18,14,0,39,2.54897,7,NA,0,0,0.90866,388,427,2,BUF,1,55081,7
Montréal,CAN,1972-05-06,QC,20,1,1990,Martin Brodeur,74,Y,Brodeur,CAN,8455710,L,220,20002001,2,97,97,0,218,2.25469,27,NA,14,2,0.90392,2051,2269,13,NJD,11,348073,57
Sault Ste. Marie,CAN,1975-08-13,ON,124,5,1994,Marty Turco,71,N,Turco,CAN,8460612,L,184,20002001,0,26,20,0,40,1.89643,6,NA,12,0,0.92481,492,532,3,DAL,1,75932,13
Chandler,CAN,1978-01-09,QC,44,2,1996,Mathieu Garon,73,N,Garon,CAN,8464999,R,198,20002001,0,11,9,0,24,2.4435,5,NA,0,0,0.89699,209,233,2,MTL,1,35359,4
Beauport,CAN,1981-06-17,QC,22,1,1999,Maxime Ouellet,74,N,Ouellet,CAN,8467895,L,194,20002001,0,2,1,0,3,2.38095,1,NA,0,0,0.88888,24,27,0,PHI,0,4536,0
Lahr,DEU,1976-10-03,NA,137,6,1996,Michel Larocque,71,N,Larocque,DEU,8465091,L,198,20002001,0,3,2,0,9,3.55419,2,NA,0,0,0.84745,50,59,0,CHI,0,9116,0
Turku,FIN,1976-10-26,NA,116,5,1995,Miikka Kiprusoff,73,N,Kiprusoff,FIN,8462147,L,185,20002001,0,8,3,0,10,1.97487,2,NA,0,0,0.92307,120,130,0,SJS,0,18229,3
Tampere,FIN,1979-06-17,NA,21,1,1997,Mika Noronen,74,N,Noronen,FIN,8466156,L,196,20002001,0,2,1,0,5,2.76837,0,NA,0,0,0.87179,34,39,0,BUF,0,6502,2
Johnson City,USA,1972-06-01,NY,53,3,1990,Mike Dunham,74,N,Dunham,USA,8456137,L,190,20002001,0,48,47,0,107,2.28437,21,NA,2,0,0.92251,1274,1381,4,NSH,4,168624,21
North York,CAN,1972-01-26,ON,45,2,1992,Mike Fountain,72,N,Fountain,CAN,8458981,L,176,20002001,0,1,1,0,3,3.07079,1,NA,0,0,0.88,22,25,0,OTT,0,3517,0
Abington,USA,1966-09-22,PA,28,2,1985,Mike Richter,70,N,Richter,USA,8450833,L,190,20002001,0,45,45,0,144,3.27881,21,NA,0,0,0.89277,1199,1343,0,NYR,3,158106,20
Calgary,CAN,1963-02-24,AB,56,3,1981,Mike Vernon,69,Y,Vernon,CAN,8452217,L,175,20002001,1,41,40,0,121,3.23236,23,NA,16,1,0.88297,913,1034,3,CGY,5,134762,12
Litomerice,CZE,1973-06-25,NA,70,4,1991,Milan Hnilicka,73,N,Hnilicka,CZE,8458584,L,190,20002001,0,36,31,0,105,3.35278,19,NA,4,0,0.88958,846,951,2,ATL,2,112742,12
Sverdlovsk,RUS,1973-01-13,NA,204,9,1992,Nikolai Khabibulin,73,N,Khabibulin,RUS,8459140,L,208,20002001,0,2,2,0,6,2.91773,1,NA,0,0,0.91304,63,69,0,TBL,0,7403,1
Belleville,CAN,1974-10-02,ON,126,5,1993,Norm Maracle,69,N,Maracle,CAN,8459549,L,175,20002001,0,13,13,0,43,3.42781,8,NA,0,0,0.89408,363,406,0,ATL,3,45160,2
Johannesburg,ZAF,1970-04-06,NA,19,1,1989,Olie Kolzig,75,N,Kolzig,DEU,8448535,L,224,20002001,2,78,78,0,191,2.4626,30,NA,14,2,0.90878,1903,2094,6,WSH,8,279216,39
St. Bonaventure,CAN,1974-07-07,QC,156,6,1993,Patrick Lalime,75,N,Lalime,CAN,8459579,L,192,20002001,1,64,64,0,151,2.34851,23,NA,2,1,0.91316,1588,1739,7,OTT,5,231465,36
Québec City,CAN,1965-10-05,QC,51,3,1984,Patrick Roy,74,Y,Roy,CAN,8451033,L,190,20002001,6,85,83,0,173,2.06139,20,NA,10,6,0.91896,1962,2135,8,COL,7,302126,56
Riga,LVA,1973-04-24,NA,NA,NA,NA,Peter Skudra,73,N,Skudra,LVA,8464715,L,185,20002001,0,26,16,0,62,3.33203,12,NA,0,0,0.87866,449,511,0,"BUF,BOS",1,66986,6
Montréal,CAN,1973-03-29,QC,NA,NA,NA,Rich Parent,75,N,Parent,CAN,8465962,L,215,20002001,0,7,4,0,17,3.07553,1,NA,0,0,0.88666,133,150,0,PIT,3,19899,1
Winthrop,USA,1981-09-19,MA,1,1,2000,Rick DiPietro,72,N,DiPietro,USA,8468481,R,185,20002001,2,20,19,0,63,3.48966,15,NA,6,2,0.87766,452,515,0,NYI,1,64992,3
Edmonton,CAN,1973-03-20,AB,NA,NA,NA,Robbie Tallas,72,N,Tallas,CAN,8459306,L,175,20002001,0,12,10,0,35,3.34999,7,NA,0,0,0.86792,230,265,0,CHI,0,37612,2
White,USA,1978-01-22,NY,139,6,1996,Robert Esche,73,N,Esche,USA,8465093,L,210,20002001,3,25,22,0,68,3.02278,8,NA,2,3,0.89649,589,657,2,PHX,4,80985,10
Montréal,CAN,1979-04-04,QC,4,1,1997,Roberto Luongo,75,Y,Luongo,CAN,8466141,L,215,20002001,0,47,41,0,107,2.44259,24,NA,2,0,0.91972,1226,1333,5,FLA,7,157701,12
Gottwaldov,CZE,1971-03-02,NA,171,6,2000,Roman Cechmanek,75,N,Cechmanek,CZE,8468651,L,211,20002001,1,65,63,0,133,2.11221,19,NA,4,1,0.91835,1496,1629,10,PHI,6,226681,37
Strakonice,CZE,1970-05-21,NA,113,6,1990,Roman Turek,76,N,Turek,CZE,8458266,R,222,20002001,1,68,67,0,154,2.23159,23,NA,8,1,0.90552,1476,1630,6,STL,10,248432,33
Scarborough,CAN,1967-10-22,ON,81,4,1986,Ron Tugnutt,71,N,Tugnutt,CAN,8451837,L,165,20002001,1,53,53,0,127,2.43532,25,NA,2,1,0.91688,1401,1528,4,CBJ,5,187737,22
Bismarck,USA,1975-07-01,ND,276,11,1994,Scott Fankhouser,73,N,Fankhouser,USA,8460761,L,195,20002001,0,7,3,0,16,3.69823,1,NA,2,0,0.9,144,160,0,ATL,0,15575,2
Windsor,CAN,1967-01-29,ON,24,2,1985,Sean Burke,76,N,Burke,CAN,8445769,L,209,20002001,1,62,60,0,138,2.27235,22,NA,16,1,0.9219,1629,1767,4,PHX,13,218628,25
Montréal,CAN,1970-06-17,QC,24,2,1988,Stephane Fiset,73,N,Fiset,CAN,8446831,L,198,20002001,0,8,7,0,19,3.5789,0,NA,2,0,0.85271,110,129,0,LAK,1,19112,3
Thunder Bay,CAN,1973-01-29,ON,196,9,1992,Steve Passmore,69,N,Passmore,CAN,8459132,L,165,20002001,0,20,16,0,51,2.89161,12,NA,4,0,0.8884,406,457,1,"LAK,CHI",2,63494,3
Toronto,CAN,1972-07-19,ON,101,5,1991,Steve Shields,75,N,Shields,CAN,8458615,L,215,20002001,0,21,16,0,47,2.48399,8,NA,2,0,0.91148,484,531,2,SJS,5,68116,6
Karlovy Vary,CZE,1976-07-02,NA,226,9,1994,Tomas Vokoun,73,N,Vokoun,CZE,8460712,R,210,20002001,0,37,34,0,85,2.44233,17,NA,2,0,0.90957,855,940,2,NSH,5,125290,13
Surahammar,SWE,1971-02-01,NA,118,5,1993,Tommy Salo,72,N,Salo,SWE,8459541,L,180,20002001,1,79,78,0,194,2.44044,29,NA,4,1,0.90504,1849,2043,8,EDM,12,286177,38
Kanata,CAN,1975-09-14,ON,NA,NA,NA,Travis Scott,74,N,Scott,CAN,8460935,L,162,20002001,0,1,0,0,3,7.28253,0,NA,0,0,0.7,7,10,0,LAK,0,1483,0
Dugald,CAN,1972-03-29,MB,11,1,1990,Trevor Kidd,74,N,Kidd,CAN,8456830,L,213,20002001,1,42,41,0,130,3.31369,23,NA,6,1,0.89317,1087,1217,1,FLA,6,141232,10
Ottawa,CAN,1975-06-29,ON,29,2,1993,Tyler Moss,72,N,Moss,CAN,8459451,R,185,20002001,0,12,6,0,37,3.98527,6,NA,0,0,0.85258,214,251,0,CAR,0,33423,1
Ust-Kamenogorsk,KAZ,1975-09-23,NA,209,9,1994,Vitali Yeremeyev,70,N,Yeremeyev,KAZ,8460695,L,190,20002001,0,4,3,0,16,4.51977,4,NA,0,0,0.84615,88,104,0,NYR,0,12744,0
Terrace,CAN,1968-01-11,BC,181,9,1988,Wade Flaherty,73,N,Flaherty,CAN,8456264,L,191,20002001,0,22,16,0,64,3.38241,12,NA,2,0,0.87809,461,525,1,"NYI,TBL",0,68117,6
Peterborough,CAN,1976-09-17,ON,212,9,1995,Zac Bierk,77,N,Bierk,CAN,8462247,L,205,20002001,0,1,1,0,6,6,1,NA,2,0,0.77777,21,27,0,MIN,0,3600,0
Cold Lake,CAN,1981-01-07,AB,40,2,1999,Alex Auld,76,N,Auld,CAN,8467913,L,215,20012002,1,1,1,0,2,2.00278,0,NA,0,1,0.90909,20,22,0,VAN,0,3595,1
Belleville,CAN,1980-05-04,ON,135,5,1998,Andrew Raycroft,73,N,Raycroft,CAN,8467453,L,180,20012002,0,1,1,0,3,2.76923,0,NA,0,0,0.89655,26,29,0,BOS,1,3900,0
Riga,LVA,1967-02-02,NA,196,10,1989,Arturs Irbe,68,N,Irbe,LVA,8456692,L,190,20012002,1,69,66,0,156,2.30972,27,NA,10,1,0.91146,1606,1762,4,CAR,11,243146,30
Toronto,CAN,1965-01-14,ON,69,4,1983,Bob Essensa,72,N,Essensa,CAN,8446719,L,188,20012002,0,9,4,0,17,2.91123,5,NA,0,0,0.84955,96,113,0,BUF,0,21022,0
Farmington,USA,1977-03-12,MI,129,5,1995,Brent Johnson,75,N,Johnson,USA,8462161,L,199,20012002,4,68,68,0,145,2.13163,25,NA,6,4,0.90614,1400,1545,8,STL,4,244883,39
Woonsocket,USA,1977-01-02,RI,22,1,1995,Brian Boucher,74,N,Boucher,USA,8462052,L,200,20012002,0,43,39,0,94,2.36767,17,NA,4,0,0.90646,911,1005,2,PHI,4,142925,18
Sussex,GBR,1971-02-25,NA,35,2,1989,Byron Dafoe,71,N,Dafoe,GBR,8455994,L,185,20012002,1,70,70,0,160,2.29412,30,NA,27,1,0.90367,1501,1661,4,BOS,3,251076,37
Peace River,CAN,1972-11-26,AB,54,3,1991,Chris Osgood,70,N,Osgood,CAN,8458568,L,180,20012002,4,73,72,0,173,2.51047,29,NA,14,4,0.90989,1747,1920,4,NYI,6,248081,35
North Battleford,CAN,1970-11-04,SK,200,10,1990,Corey Schwab,72,N,Schwab,CAN,8457969,L,180,20012002,0,31,27,0,75,2.71375,10,NA,2,0,0.89466,637,712,1,TOR,5,99493,12
London,CAN,1966-09-11,ON,23,2,1984,Craig Billington,70,N,Billington,CAN,8445470,L,168,20012002,0,17,10,0,36,3.04068,5,NA,0,0,0.87796,259,295,0,WSH,3,42622,4
Keswick,CAN,1967-04-29,ON,NA,NA,NA,Curtis Joseph,71,N,Joseph,CAN,8448382,L,193,20012002,1,71,71,0,162,2.25097,27,NA,14,1,0.90831,1605,1767,7,TOR,5,259088,39
St. Paul,USA,1969-05-28,MN,112,6,1987,Damian Rhodes,71,N,Rhodes,USA,8457791,L,195,20012002,0,15,11,0,47,3.66725,10,NA,0,0,0.89293,392,439,0,ATL,1,46138,2
Montréal,CAN,1983-05-20,QC,10,1,2001,Dan Blackburn,73,N,Blackburn,CAN,8469463,L,180,20012002,0,31,28,0,95,3.28117,16,NA,10,0,0.89839,840,935,0,NYR,0,104231,12
Mont-Laurier,CAN,1976-04-22,QC,26,1,1994,Dan Cloutier,73,N,Cloutier,CAN,8460516,L,195,20012002,0,68,67,0,158,2.51123,25,NA,20,0,0.89891,1405,1563,7,VAN,5,226502,33
Fribourg,CHE,1978-02-07,NA,161,6,1997,David Aebischer,73,N,Aebischer,CHE,8466290,L,187,20012002,0,22,19,0,38,1.8734,6,NA,6,0,0.93115,514,552,2,COL,0,73022,13
Gresham,USA,1979-06-21,OR,NA,NA,NA,Derek Gustafson,71,N,Gustafson,USA,8468477,L,210,20012002,0,1,0,0,0,0,0,NA,0,0,1,7,7,0,MIN,0,1543,0
Saskatoon,CAN,1974-05-11,SK,98,4,1993,Dieter Kochan,73,N,Kochan,CAN,8459523,L,165,20012002,0,5,4,0,16,4.05576,3,NA,0,0,0.87596,113,129,0,TBL,1,14202,0
Pardubice,CZE,1965-01-29,NA,199,10,1983,Dominik Hasek,73,Y,Hasek,CZE,8447687,L,166,20012002,2,88,87,0,185,2.08397,22,NA,16,2,0.91651,2031,2216,11,DET,8,319582,57
Simcoe,CAN,1969-10-12,ON,NA,NA,NA,Dwayne Roloson,73,N,Roloson,CAN,8460806,L,170,20012002,0,45,40,0,112,2.68104,20,NA,8,0,0.90106,1020,1132,5,MIN,7,150389,14
Carman,CAN,1965-04-21,MB,NA,NA,NA,Ed Belfour,72,Y,Belfour,CAN,8445386,L,214,20012002,5,60,58,0,153,2.64746,27,NA,12,5,0.89506,1305,1458,1,DAL,11,208048,21
Kamenogorsk,KAZ,1975-07-25,NA,219,9,1994,Evgeni Nabokov,72,N,Nabokov,RUS,8460705,L,202,20012002,5,79,79,1,180,2.34148,29,NA,16,6,0.91588,1960,2140,7,SJS,5,276748,44
Anjou,CAN,1971-06-23,QC,31,2,1990,Felix Potvin,73,N,Potvin,CAN,8457714,L,195,20012002,1,78,77,0,172,2.29953,31,NA,19,1,0.90885,1715,1887,7,LAK,8,269272,34
Ottawa,CAN,1972-11-24,ON,NA,NA,NA,Fred Brathwaite,67,N,Brathwaite,CAN,8459252,L,185,20012002,0,26,24,0,54,2.24025,11,NA,0,0,0.90055,489,543,2,STL,4,86776,9
Sorel,CAN,1975-06-12,QC,210,9,1994,Frederic Cassivi,76,N,Cassivi,CAN,8460696,L,220,20012002,0,6,5,0,17,3.32464,3,NA,0,0,0.91787,190,207,0,ATL,0,18408,2
Wrentham,USA,1969-07-28,MA,114,6,1987,Garth Snow,75,N,Snow,USA,8458075,L,200,20012002,0,26,17,0,57,2.75277,7,NA,14,0,0.89964,511,568,2,NYI,2,74543,10
Togliatti,RUS,1980-06-22,NA,44,2,2000,Ilya Bryzgalov,75,N,Bryzgalov,RUS,8468524,L,213,20012002,0,1,0,0,1,1.87304,0,NA,0,0,0.91666,11,12,0,ANA,0,1922,0
Brampton,CAN,1975-12-28,ON,7,1,1994,Jamie Storr,74,N,Storr,CAN,8460497,L,200,20012002,0,20,12,0,28,1.89491,4,NA,4,0,0.92222,332,360,2,LAK,3,53195,9
Zvolen,SVK,1979-04-10,NA,65,2,1999,Jan Lasak,72,N,Lasak,SVK,8467938,L,204,20012002,0,3,3,0,13,4.40139,3,NA,2,0,0.875,91,104,0,NSH,0,10633,0
Turku,FIN,1975-01-07,NA,58,3,1997,Jani Hurme,72,N,Hurme,FIN,8466192,L,195,20012002,0,25,22,0,54,2.47583,9,NA,17,0,0.90657,524,578,3,OTT,1,78519,12
St. Alexis Des Monts,CAN,1979-07-21,QC,24,1,1997,Jean-Francois Damphousse,72,N,Damphousse,CAN,8466159,L,146,20012002,0,6,4,0,12,2.45203,3,NA,0,0,0.89565,103,115,0,NJD,0,17618,1
Sherbrooke,CAN,1972-06-15,QC,NA,NA,NA,Jean-Francois Labbe,69,N,Labbe,CAN,8459239,L,174,20012002,0,3,2,0,6,3.07167,1,NA,0,0,0.91176,62,68,0,CBJ,0,7032,1
Montréal,CAN,1977-07-19,QC,76,3,1995,Jean-Sebastien Aubin,71,N,Aubin,CAN,8462102,R,180,20012002,0,21,18,0,65,3.56392,12,NA,0,0,0.87895,472,537,0,PIT,1,65658,3
Montréal,CAN,1977-05-16,QC,13,1,1995,Jean-Sebastien Giguere,73,N,Giguere,CAN,8462044,L,202,20012002,0,53,51,0,111,2.13008,25,NA,28,0,0.91979,1273,1384,4,ANA,6,187598,20
London,CAN,1968-06-01,ON,34,2,1987,Jeff Hackett,73,N,Hackett,CAN,8447449,L,198,20012002,0,15,13,0,38,3.18139,5,NA,2,0,0.90379,357,395,0,MTL,2,43000,5
Montréal,CAN,1975-01-12,QC,10,1,1993,Jocelyn Thibault,71,N,Thibault,CAN,8459432,L,169,20012002,0,70,69,0,166,2.4922,25,NA,2,0,0.90252,1537,1703,6,CHI,9,239788,34
